format=v2.tables.scan.v1  Qwen3-1.7B, every table read word by word (bf16: sign bit 15, exponent bits 14..7, mantissa bits 6..0)
[B] 'any 0' read as: any value that reads 0.… ; ×(2×5) = times the whole table is multiplied until none does
table                                            shape          values       zeros   smallest        ×(2×5)  largest
lm_head.weight                                   151936x2048    311164928    0       197/2^46        12      181/2^9
model.embed_tokens.weight                        151936x2048    311164928    0       197/2^46        12      181/2^9
model.layers.0.input_layernorm.weight            2048           2048         0       229/2^12        2       129/2^7
model.layers.0.mlp.down_proj.weight              2048x6144      12582912     0       213/2^38        10      161/2^8
model.layers.0.mlp.gate_proj.weight              6144x2048      12582912     0       168/2^36        9       164/2^8
model.layers.0.mlp.up_proj.weight                6144x2048      12582912     0       193/2^37        9       210/2^9
model.layers.0.post_attention_layernorm.weight   2048           2048         0       130/2^24        6       206/2^8
model.layers.0.self_attn.k_norm.weight           128            128          0       139/2^11        2       136/2^1
model.layers.0.self_attn.k_proj.weight           1024x2048      2097152      0       182/2^34        8       208/2^8
model.layers.0.self_attn.o_proj.weight           2048x2048      4194304      0       146/2^34        9       130/2^8
model.layers.0.self_attn.q_norm.weight           128            128          0       207/2^16        3       223/2^5
model.layers.0.self_attn.q_proj.weight           2048x2048      4194304      0       151/2^35        9       168/2^8
model.layers.0.self_attn.v_proj.weight           1024x2048      2097152      0       134/2^32        8       227/2^10
model.layers.1.input_layernorm.weight            2048           2048         0       180/2^16        3       146/2^8
model.layers.1.mlp.down_proj.weight              2048x6144      12582912     0       179/2^36        9       158/2^8
model.layers.1.mlp.gate_proj.weight              6144x2048      12582912     0       211/2^36        9       133/2^8
model.layers.1.mlp.up_proj.weight                6144x2048      12582912     0       178/2^37        9       132/2^8
model.layers.1.post_attention_layernorm.weight   2048           2048         0       131/2^21        5       168/2^5
model.layers.1.self_attn.k_norm.weight           128            128          0       195/2^16        3       245/2^3
model.layers.1.self_attn.k_proj.weight           1024x2048      2097152      0       178/2^34        8       128/2^8
model.layers.1.self_attn.o_proj.weight           2048x2048      4194304      0       217/2^36        9       188/2^9
model.layers.1.self_attn.q_norm.weight           128            128          0       179/2^14        2       147/2^5
model.layers.1.self_attn.q_proj.weight           2048x2048      4194304      0       221/2^36        9       152/2^8
model.layers.1.self_attn.v_proj.weight           1024x2048      2097152      0       236/2^33        8       131/2^9
model.layers.2.input_layernorm.weight            2048           2048         0       142/2^21        5       156/2^8
model.layers.2.mlp.down_proj.weight              2048x6144      12582912     0       152/2^36        9       210/2^8
model.layers.2.mlp.gate_proj.weight              6144x2048      12582912     0       162/2^37        9       253/2^9
model.layers.2.mlp.up_proj.weight                6144x2048      12582912     0       190/2^36        9       177/2^8
model.layers.2.post_attention_layernorm.weight   2048           2048         0       160/2^25        6       176/2^5
model.layers.2.self_attn.k_norm.weight           128            128          0       254/2^16        3       142/2^2
model.layers.2.self_attn.k_proj.weight           1024x2048      2097152      0       160/2^35        9       184/2^9
model.layers.2.self_attn.o_proj.weight           2048x2048      4194304      0       241/2^38        10      220/2^9
model.layers.2.self_attn.q_norm.weight           128            128          0       203/2^15        3       159/2^5
model.layers.2.self_attn.q_proj.weight           2048x2048      4194304      0       161/2^32        8       161/2^8
model.layers.2.self_attn.v_proj.weight           1024x2048      2097152      0       168/2^35        9       248/2^10
model.layers.3.input_layernorm.weight            2048           2048         0       157/2^14        3       199/2^7
model.layers.3.mlp.down_proj.weight              2048x6144      12582912     0       241/2^36        9       168/2^8
model.layers.3.mlp.gate_proj.weight              6144x2048      12582912     0       145/2^41        11      136/2^8
model.layers.3.mlp.up_proj.weight                6144x2048      12582912     0       128/2^38        10      238/2^9
model.layers.3.post_attention_layernorm.weight   2048           2048         0       141/2^23        5       128/2^6
model.layers.3.self_attn.k_norm.weight           128            128          0       169/2^21        5       162/2^3
model.layers.3.self_attn.k_proj.weight           1024x2048      2097152      0       167/2^32        8       201/2^8
model.layers.3.self_attn.o_proj.weight           2048x2048      4194304      0       247/2^36        9       223/2^9
model.layers.3.self_attn.q_norm.weight           128            128          0       163/2^17        3       224/2^5
model.layers.3.self_attn.q_proj.weight           2048x2048      4194304      0       147/2^36        9       171/2^8
model.layers.3.self_attn.v_proj.weight           1024x2048      2097152      0       209/2^38        10      247/2^9
model.layers.4.input_layernorm.weight            2048           2048         0       150/2^11        2       165/2^7
model.layers.4.mlp.down_proj.weight              2048x6144      12582912     0       244/2^35        9       159/2^8
model.layers.4.mlp.gate_proj.weight              6144x2048      12582912     0       155/2^37        9       159/2^8
model.layers.4.mlp.up_proj.weight                6144x2048      12582912     0       187/2^35        9       236/2^9
model.layers.4.post_attention_layernorm.weight   2048           2048         0       182/2^22        5       206/2^7
model.layers.4.self_attn.k_norm.weight           128            128          0       131/2^18        4       146/2^2
model.layers.4.self_attn.k_proj.weight           1024x2048      2097152      0       195/2^33        8       145/2^8
model.layers.4.self_attn.o_proj.weight           2048x2048      4194304      0       173/2^34        8       165/2^8
model.layers.4.self_attn.q_norm.weight           128            128          0       178/2^15        3       240/2^6
model.layers.4.self_attn.q_proj.weight           2048x2048      4194304      0       175/2^33        8       251/2^9
model.layers.4.self_attn.v_proj.weight           1024x2048      2097152      0       222/2^40        10      251/2^10
model.layers.5.input_layernorm.weight            2048           2048         0       199/2^16        3       182/2^7
model.layers.5.mlp.down_proj.weight              2048x6144      12582912     0       206/2^36        9       169/2^8
model.layers.5.mlp.gate_proj.weight              6144x2048      12582912     0       149/2^34        9       190/2^8
model.layers.5.mlp.up_proj.weight                6144x2048      12582912     0       144/2^37        9       169/2^8
model.layers.5.post_attention_layernorm.weight   2048           2048         0       141/2^24        6       248/2^8
model.layers.5.self_attn.k_norm.weight           128            128          0       249/2^18        4       249/2^3
model.layers.5.self_attn.k_proj.weight           1024x2048      2097152      0       204/2^33        8       146/2^8
model.layers.5.self_attn.o_proj.weight           2048x2048      4194304      0       213/2^35        9       250/2^9
model.layers.5.self_attn.q_norm.weight           128            128          0       191/2^19        4       201/2^5
model.layers.5.self_attn.q_proj.weight           2048x2048      4194304      0       153/2^37        9       131/2^8
model.layers.5.self_attn.v_proj.weight           1024x2048      2097152      0       136/2^31        8       144/2^9
model.layers.6.input_layernorm.weight            2048           2048         0       253/2^21        4       175/2^7
model.layers.6.mlp.down_proj.weight              2048x6144      12582912     0       210/2^36        9       222/2^8
model.layers.6.mlp.gate_proj.weight              6144x2048      12582912     0       180/2^38        10      176/2^8
model.layers.6.mlp.up_proj.weight                6144x2048      12582912     0       173/2^36        9       246/2^9
model.layers.6.post_attention_layernorm.weight   2048           2048         0       141/2^23        5       162/2^7
model.layers.6.self_attn.k_norm.weight           128            128          0       199/2^18        4       154/2^3
model.layers.6.self_attn.k_proj.weight           1024x2048      2097152      0       200/2^34        8       153/2^8
model.layers.6.self_attn.o_proj.weight           2048x2048      4194304      0       200/2^38        10      191/2^8
model.layers.6.self_attn.q_norm.weight           128            128          0       220/2^16        3       225/2^5
model.layers.6.self_attn.q_proj.weight           2048x2048      4194304      0       194/2^34        8       146/2^8
model.layers.6.self_attn.v_proj.weight           1024x2048      2097152      0       213/2^32        8       220/2^10
model.layers.7.input_layernorm.weight            2048           2048         0       185/2^11        2       227/2^6
model.layers.7.mlp.down_proj.weight              2048x6144      12582912     0       161/2^35        9       251/2^8
model.layers.7.mlp.gate_proj.weight              6144x2048      12582912     0       244/2^37        9       128/2^8
model.layers.7.mlp.up_proj.weight                6144x2048      12582912     0       154/2^42        11      136/2^8
model.layers.7.post_attention_layernorm.weight   2048           2048         0       179/2^22        5       195/2^7
model.layers.7.self_attn.k_norm.weight           128            128          0       240/2^20        4       154/2^3
model.layers.7.self_attn.k_proj.weight           1024x2048      2097152      0       191/2^36        9       165/2^9
model.layers.7.self_attn.o_proj.weight           2048x2048      4194304      0       226/2^34        8       145/2^8
model.layers.7.self_attn.q_norm.weight           128            128          0       162/2^13        2       209/2^5
model.layers.7.self_attn.q_proj.weight           2048x2048      4194304      0       250/2^36        9       217/2^9
model.layers.7.self_attn.v_proj.weight           1024x2048      2097152      0       215/2^34        8       161/2^9
model.layers.8.input_layernorm.weight            2048           2048         0       197/2^11        2       252/2^7
model.layers.8.mlp.down_proj.weight              2048x6144      12582912     0       134/2^37        10      161/2^8
model.layers.8.mlp.gate_proj.weight              6144x2048      12582912     0       173/2^38        10      222/2^8
model.layers.8.mlp.up_proj.weight                6144x2048      12582912     0       192/2^35        9       251/2^9
model.layers.8.post_attention_layernorm.weight   2048           2048         0       140/2^24        6       169/2^7
model.layers.8.self_attn.k_norm.weight           128            128          0       242/2^20        4       246/2^5
model.layers.8.self_attn.k_proj.weight           1024x2048      2097152      0       175/2^37        9       220/2^8
model.layers.8.self_attn.o_proj.weight           2048x2048      4194304      0       202/2^36        9       255/2^9
model.layers.8.self_attn.q_norm.weight           128            128          0       225/2^17        3       149/2^5
model.layers.8.self_attn.q_proj.weight           2048x2048      4194304      0       132/2^37        10      222/2^9
model.layers.8.self_attn.v_proj.weight           1024x2048      2097152      0       242/2^33        8       233/2^10
model.layers.9.input_layernorm.weight            2048           2048         0       199/2^23        5       194/2^6
model.layers.9.mlp.down_proj.weight              2048x6144      12582912     0       147/2^40        10      204/2^8
model.layers.9.mlp.gate_proj.weight              6144x2048      12582912     0       137/2^36        9       142/2^8
model.layers.9.mlp.up_proj.weight                6144x2048      12582912     0       149/2^36        9       241/2^9
model.layers.9.post_attention_layernorm.weight   2048           2048         0       153/2^22        5       176/2^7
model.layers.9.self_attn.k_norm.weight           128            128          0       187/2^22        5       198/2^4
model.layers.9.self_attn.k_proj.weight           1024x2048      2097152      0       149/2^32        8       139/2^8
model.layers.9.self_attn.o_proj.weight           2048x2048      4194304      0       198/2^37        9       141/2^8
model.layers.9.self_attn.q_norm.weight           128            128          0       134/2^14        3       217/2^5
model.layers.9.self_attn.q_proj.weight           2048x2048      4194304      0       253/2^38        10      251/2^9
model.layers.9.self_attn.v_proj.weight           1024x2048      2097152      0       208/2^33        8       168/2^9
model.layers.10.input_layernorm.weight           2048           2048         0       214/2^12        2       201/2^6
model.layers.10.mlp.down_proj.weight             2048x6144      12582912     0       175/2^35        9       181/2^8
model.layers.10.mlp.gate_proj.weight             6144x2048      12582912     0       160/2^38        10      185/2^8
model.layers.10.mlp.up_proj.weight               6144x2048      12582912     0       157/2^36        9       157/2^8
model.layers.10.post_attention_layernorm.weight  2048           2048         0       128/2^23        5       165/2^7
model.layers.10.self_attn.k_norm.weight          128            128          0       199/2^20        4       166/2^3
model.layers.10.self_attn.k_proj.weight          1024x2048      2097152      0       254/2^35        9       135/2^9
model.layers.10.self_attn.o_proj.weight          2048x2048      4194304      0       195/2^37        9       143/2^8
model.layers.10.self_attn.q_norm.weight          128            128          0       155/2^14        3       135/2^4
model.layers.10.self_attn.q_proj.weight          2048x2048      4194304      0       142/2^34        9       215/2^9
model.layers.10.self_attn.v_proj.weight          1024x2048      2097152      0       138/2^36        9       225/2^10
model.layers.11.input_layernorm.weight           2048           2048         0       144/2^27        6       208/2^5
model.layers.11.mlp.down_proj.weight             2048x6144      12582912     0       129/2^37        10      204/2^8
model.layers.11.mlp.gate_proj.weight             6144x2048      12582912     0       238/2^39        10      145/2^8
model.layers.11.mlp.up_proj.weight               6144x2048      12582912     0       163/2^35        9       211/2^9
model.layers.11.post_attention_layernorm.weight  2048           2048         0       170/2^28        7       156/2^6
model.layers.11.self_attn.k_norm.weight          128            128          0       133/2^20        4       186/2^5
model.layers.11.self_attn.k_proj.weight          1024x2048      2097152      0       186/2^36        9       206/2^9
model.layers.11.self_attn.o_proj.weight          2048x2048      4194304      0       238/2^35        9       172/2^8
model.layers.11.self_attn.q_norm.weight          128            128          0       181/2^15        3       200/2^6
model.layers.11.self_attn.q_proj.weight          2048x2048      4194304      0       247/2^34        8       132/2^8
model.layers.11.self_attn.v_proj.weight          1024x2048      2097152      0       133/2^33        8       153/2^9
model.layers.12.input_layernorm.weight           2048           2048         0       233/2^23        5       205/2^5
model.layers.12.mlp.down_proj.weight             2048x6144      12582912     0       139/2^37        9       207/2^8
model.layers.12.mlp.gate_proj.weight             6144x2048      12582912     0       171/2^35        9       132/2^8
model.layers.12.mlp.up_proj.weight               6144x2048      12582912     0       159/2^36        9       131/2^8
model.layers.12.post_attention_layernorm.weight  2048           2048         0       248/2^24        5       210/2^7
model.layers.12.self_attn.k_norm.weight          128            128          0       129/2^18        4       161/2^3
model.layers.12.self_attn.k_proj.weight          1024x2048      2097152      0       183/2^40        10      226/2^9
model.layers.12.self_attn.o_proj.weight          2048x2048      4194304      0       248/2^34        8       140/2^8
model.layers.12.self_attn.q_norm.weight          128            128          0       222/2^15        3       247/2^6
