table,weights,plus,minus,total
lm_head.weight,311164928,922362,922908,1845270
model.embed_tokens.weight,311164928,922362,922908,1845270
model.layers.0.input_layernorm.weight,2048,2,0,2
model.layers.0.mlp.down_proj.weight,12582912,37241,37342,74583
model.layers.0.mlp.gate_proj.weight,12582912,37692,37074,74766
model.layers.0.mlp.up_proj.weight,12582912,37214,37499,74713
model.layers.0.post_attention_layernorm.weight,2048,21,1,22
model.layers.0.self_attn.k_norm.weight,128,1,0,1
model.layers.0.self_attn.k_proj.weight,2097152,6203,6200,12403
model.layers.0.self_attn.o_proj.weight,4194304,12432,12484,24916
model.layers.0.self_attn.q_norm.weight,128,1,0,1
model.layers.0.self_attn.q_proj.weight,4194304,12636,12562,25198
model.layers.0.self_attn.v_proj.weight,2097152,6199,6221,12420
model.layers.1.input_layernorm.weight,2048,2,0,2
model.layers.1.mlp.down_proj.weight,12582912,37333,37840,75173
model.layers.1.mlp.gate_proj.weight,12582912,37387,37225,74612
model.layers.1.mlp.up_proj.weight,12582912,37376,37229,74605
model.layers.1.post_attention_layernorm.weight,2048,17,0,17
model.layers.1.self_attn.k_norm.weight,128,1,0,1
model.layers.1.self_attn.k_proj.weight,2097152,6277,6268,12545
model.layers.1.self_attn.o_proj.weight,4194304,12460,12441,24901
model.layers.1.self_attn.q_norm.weight,128,0,1,1
model.layers.1.self_attn.q_proj.weight,4194304,12511,12266,24777
model.layers.1.self_attn.v_proj.weight,2097152,6166,6299,12465
model.layers.2.input_layernorm.weight,2048,16,0,16
model.layers.2.mlp.down_proj.weight,12582912,37495,37361,74856
model.layers.2.mlp.gate_proj.weight,12582912,37102,37255,74357
model.layers.2.mlp.up_proj.weight,12582912,37395,37626,75021
model.layers.2.post_attention_layernorm.weight,2048,26,0,26
model.layers.2.self_attn.k_norm.weight,128,1,0,1
model.layers.2.self_attn.k_proj.weight,2097152,6220,6191,12411
model.layers.2.self_attn.o_proj.weight,4194304,12409,12353,24762
model.layers.2.self_attn.q_norm.weight,128,1,0,1
model.layers.2.self_attn.q_proj.weight,4194304,12417,12677,25094
model.layers.2.self_attn.v_proj.weight,2097152,6324,6286,12610
model.layers.3.input_layernorm.weight,2048,0,0,0
model.layers.3.mlp.down_proj.weight,12582912,37209,37513,74722
model.layers.3.mlp.gate_proj.weight,12582912,37306,37299,74605
model.layers.3.mlp.up_proj.weight,12582912,37402,37464,74866
model.layers.3.post_attention_layernorm.weight,2048,2,1,3
model.layers.3.self_attn.k_norm.weight,128,0,0,0
model.layers.3.self_attn.k_proj.weight,2097152,6274,6214,12488
model.layers.3.self_attn.o_proj.weight,4194304,12406,12520,24926
model.layers.3.self_attn.q_norm.weight,128,2,0,2
model.layers.3.self_attn.q_proj.weight,4194304,12352,12484,24836
model.layers.3.self_attn.v_proj.weight,2097152,6135,6181,12316
model.layers.4.input_layernorm.weight,2048,1,0,1
model.layers.4.mlp.down_proj.weight,12582912,37468,37112,74580
model.layers.4.mlp.gate_proj.weight,12582912,37154,37442,74596
model.layers.4.mlp.up_proj.weight,12582912,37287,37360,74647
model.layers.4.post_attention_layernorm.weight,2048,0,0,0
model.layers.4.self_attn.k_norm.weight,128,2,0,2
model.layers.4.self_attn.k_proj.weight,2097152,6231,6159,12390
model.layers.4.self_attn.o_proj.weight,4194304,12492,12274,24766
model.layers.4.self_attn.q_norm.weight,128,0,0,0
model.layers.4.self_attn.q_proj.weight,4194304,12435,12496,24931
model.layers.4.self_attn.v_proj.weight,2097152,6320,6239,12559
model.layers.5.input_layernorm.weight,2048,4,0,4
model.layers.5.mlp.down_proj.weight,12582912,37259,37725,74984
model.layers.5.mlp.gate_proj.weight,12582912,37174,37469,74643
model.layers.5.mlp.up_proj.weight,12582912,37502,37192,74694
model.layers.5.post_attention_layernorm.weight,2048,2,0,2
model.layers.5.self_attn.k_norm.weight,128,2,0,2
model.layers.5.self_attn.k_proj.weight,2097152,6163,6094,12257
model.layers.5.self_attn.o_proj.weight,4194304,12597,12593,25190
model.layers.5.self_attn.q_norm.weight,128,1,0,1
model.layers.5.self_attn.q_proj.weight,4194304,12703,12312,25015
model.layers.5.self_attn.v_proj.weight,2097152,6370,6379,12749
model.layers.6.input_layernorm.weight,2048,3,0,3
model.layers.6.mlp.down_proj.weight,12582912,37331,37261,74592
model.layers.6.mlp.gate_proj.weight,12582912,37136,37357,74493
model.layers.6.mlp.up_proj.weight,12582912,37478,37256,74734
model.layers.6.post_attention_layernorm.weight,2048,0,0,0
model.layers.6.self_attn.k_norm.weight,128,0,0,0
model.layers.6.self_attn.k_proj.weight,2097152,6348,6273,12621
model.layers.6.self_attn.o_proj.weight,4194304,12494,12745,25239
model.layers.6.self_attn.q_norm.weight,128,2,0,2
model.layers.6.self_attn.q_proj.weight,4194304,12523,12230,24753
model.layers.6.self_attn.v_proj.weight,2097152,6333,6203,12536
model.layers.7.input_layernorm.weight,2048,2,0,2
model.layers.7.mlp.down_proj.weight,12582912,37693,37207,74900
model.layers.7.mlp.gate_proj.weight,12582912,37255,37295,74550
model.layers.7.mlp.up_proj.weight,12582912,37301,37521,74822
model.layers.7.post_attention_layernorm.weight,2048,4,0,4
model.layers.7.self_attn.k_norm.weight,128,0,0,0
model.layers.7.self_attn.k_proj.weight,2097152,6224,6113,12337
model.layers.7.self_attn.o_proj.weight,4194304,12651,12551,25202
model.layers.7.self_attn.q_norm.weight,128,1,0,1
model.layers.7.self_attn.q_proj.weight,4194304,12616,12553,25169
model.layers.7.self_attn.v_proj.weight,2097152,6275,6204,12479
model.layers.8.input_layernorm.weight,2048,2,0,2
model.layers.8.mlp.down_proj.weight,12582912,37768,37489,75257
model.layers.8.mlp.gate_proj.weight,12582912,37318,37302,74620
model.layers.8.mlp.up_proj.weight,12582912,37533,37644,75177
model.layers.8.post_attention_layernorm.weight,2048,2,0,2
model.layers.8.self_attn.k_norm.weight,128,1,0,1
model.layers.8.self_attn.k_proj.weight,2097152,6224,6270,12494
model.layers.8.self_attn.o_proj.weight,4194304,12665,12569,25234
model.layers.8.self_attn.q_norm.weight,128,1,0,1
model.layers.8.self_attn.q_proj.weight,4194304,12636,12381,25017
model.layers.8.self_attn.v_proj.weight,2097152,6110,6198,12308
model.layers.9.input_layernorm.weight,2048,9,0,9
