layer,cycle,held,distinct_real,distinct_shuffled
0,1,12582912,15876,15876
0,2,6291456,5616844,5627504
0,3,3145728,3145728,3145728
0,4,1572864,1572864,1572864
0,5,786432,786432,786432
0,6,393216,393216,393216
0,7,196608,196608,196608
0,8,98304,98304,98304
0,9,49152,49152,49152
0,10,24576,24576,24576
0,11,12288,12288,12288
0,12,6144,6144,6144
1,1,12582912,15876,15876
1,2,6291456,5619687,5628174
1,3,3145728,3145728,3145728
1,4,1572864,1572864,1572864
1,5,786432,786432,786432
1,6,393216,393216,393216
1,7,196608,196608,196608
1,8,98304,98304,98304
1,9,49152,49152,49152
1,10,24576,24576,24576
1,11,12288,12288,12288
1,12,6144,6144,6144
2,1,12582912,15876,15876
2,2,6291456,5607064,5625967
2,3,3145728,3145728,3145728
2,4,1572864,1572864,1572864
2,5,786432,786432,786432
2,6,393216,393216,393216
2,7,196608,196608,196608
2,8,98304,98304,98304
2,9,49152,49152,49152
2,10,24576,24576,24576
2,11,12288,12288,12288
2,12,6144,6144,6144
3,1,12582912,15876,15876
3,2,6291456,5597602,5627569
3,3,3145728,3145728,3145728
3,4,1572864,1572864,1572864
3,5,786432,786432,786432
3,6,393216,393216,393216
3,7,196608,196608,196608
3,8,98304,98304,98304
3,9,49152,49152,49152
3,10,24576,24576,24576
3,11,12288,12288,12288
3,12,6144,6144,6144
4,1,12582912,15876,15876
4,2,6291456,5589648,5628442
4,3,3145728,3145728,3145728
4,4,1572864,1572864,1572864
4,5,786432,786432,786432
4,6,393216,393216,393216
4,7,196608,196608,196608
4,8,98304,98304,98304
4,9,49152,49152,49152
4,10,24576,24576,24576
4,11,12288,12288,12288
4,12,6144,6144,6144
5,1,12582912,15876,15876
5,2,6291456,5597279,5626453
5,3,3145728,3145728,3145728
5,4,1572864,1572864,1572864
5,5,786432,786432,786432
5,6,393216,393216,393216
5,7,196608,196608,196608
5,8,98304,98304,98304
5,9,49152,49152,49152
5,10,24576,24576,24576
5,11,12288,12288,12288
5,12,6144,6144,6144
6,1,12582912,15876,15876
6,2,6291456,5598930,5627038
6,3,3145728,3145728,3145728
6,4,1572864,1572864,1572864
6,5,786432,786432,786432
