e,side,x,y,z,slots,fives,tens_down,twos
-6,-,2,2,2,1,0,0,6
-5,-,2,2,1,1,0,0,5
-4,-,2,2,0,2,0,0,4
-3,-,2,1,2,7,0,0,3
-2,-,2,1,1,11,0,0,2
-1,-,2,1,0,22,0,0,1
0,-,2,0,2,51,0,0,0
1,-,2,0,1,95,1,1,0
2,-,2,0,0,124,2,2,0
3,-,1,2,2,128,3,3,0
4,-,1,2,1,128,4,4,0
5,-,1,2,0,128,5,5,0
6,-,1,1,2,128,6,6,0
7,-,1,1,1,128,7,7,0
8,-,1,1,0,128,8,8,0
9,-,1,0,2,128,9,9,0
10,-,1,0,1,128,10,10,0
11,-,1,0,0,128,11,11,0
12,-,0,2,2,128,12,12,0
13,-,0,2,1,128,13,13,0
14,-,0,2,0,128,14,14,0
15,-,0,1,2,128,15,15,0
16,-,0,1,1,128,16,16,0
17,-,0,1,0,128,17,17,0
18,-,0,0,2,128,18,18,0
19,-,0,0,1,128,19,19,0
20,+,0,0,0,128,20,20,0
21,+,0,0,1,128,21,21,0
22,+,0,0,2,128,22,22,0
23,+,0,1,0,128,23,23,0
24,+,0,1,1,128,24,24,0
25,+,0,1,2,128,25,25,0
26,+,0,2,0,128,26,26,0
27,+,0,2,1,127,27,27,0
28,+,0,2,2,127,28,28,0
29,+,1,0,0,128,29,29,0
30,+,1,0,1,126,30,30,0
31,+,1,0,2,124,31,31,0
32,+,1,1,0,119,32,32,0
33,+,1,1,1,109,33,33,0
34,+,1,1,2,91,34,34,0
35,+,1,2,0,69,35,35,0
36,+,1,2,1,41,36,36,0
37,+,1,2,2,33,37,37,0
38,+,2,0,0,15,38,38,0
39,+,2,0,1,2,39,39,0
40,+,2,0,2,3,40,40,0
41,+,2,1,0,4,41,41,0
46,+,2,2,2,1,46,46,0
