test,table,held,distinct_real,distinct_shuffled
cols,lm_head.weight,77791232,42720816,43155642
rows,lm_head.weight,77791232,42978548,43158103
cols,model.embed_tokens.weight,77791232,42720816,43153834
rows,model.embed_tokens.weight,77791232,42978548,43154150
cols,model.layers.0.input_layernorm.weight,512,512,512
cols,model.layers.0.mlp.down_proj.weight,3145728,2955618,2955324
rows,model.layers.0.mlp.down_proj.weight,3145728,2955102,2955261
cols,model.layers.0.mlp.gate_proj.weight,3145728,2955140,2954648
rows,model.layers.0.mlp.gate_proj.weight,3145728,2954619,2954005
cols,model.layers.0.mlp.up_proj.weight,3145728,2954157,2953940
rows,model.layers.0.mlp.up_proj.weight,3145728,2953959,2954299
cols,model.layers.0.post_attention_layernorm.weight,512,512,512
cols,model.layers.0.self_attn.k_norm.weight,32,32,32
cols,model.layers.0.self_attn.k_proj.weight,524288,518016,517889
rows,model.layers.0.self_attn.k_proj.weight,524288,518094,518088
cols,model.layers.0.self_attn.o_proj.weight,1048576,1024781,1024877
rows,model.layers.0.self_attn.o_proj.weight,1048576,1024753,1024424
cols,model.layers.0.self_attn.q_norm.weight,32,32,32
cols,model.layers.0.self_attn.q_proj.weight,1048576,1024756,1024835
rows,model.layers.0.self_attn.q_proj.weight,1048576,1024486,1024668
cols,model.layers.0.self_attn.v_proj.weight,524288,518072,518023
rows,model.layers.0.self_attn.v_proj.weight,524288,517924,518048
cols,model.layers.1.input_layernorm.weight,512,512,512
cols,model.layers.1.mlp.down_proj.weight,3145728,2954988,2954579
rows,model.layers.1.mlp.down_proj.weight,3145728,2954829,2954645
cols,model.layers.1.mlp.gate_proj.weight,3145728,2954039,2954894
rows,model.layers.1.mlp.gate_proj.weight,3145728,2954293,2953460
cols,model.layers.1.mlp.up_proj.weight,3145728,2954351,2954302
rows,model.layers.1.mlp.up_proj.weight,3145728,2954709,2954204
cols,model.layers.1.post_attention_layernorm.weight,512,512,512
cols,model.layers.1.self_attn.k_norm.weight,32,32,32
cols,model.layers.1.self_attn.k_proj.weight,524288,517979,518086
rows,model.layers.1.self_attn.k_proj.weight,524288,518122,518054
cols,model.layers.1.self_attn.o_proj.weight,1048576,1024293,1024309
rows,model.layers.1.self_attn.o_proj.weight,1048576,1024376,1024622
cols,model.layers.1.self_attn.q_norm.weight,32,32,32
cols,model.layers.1.self_attn.q_proj.weight,1048576,1024293,1024829
rows,model.layers.1.self_attn.q_proj.weight,1048576,1024691,1024456
cols,model.layers.1.self_attn.v_proj.weight,524288,518039,518026
rows,model.layers.1.self_attn.v_proj.weight,524288,517988,518132
cols,model.layers.2.input_layernorm.weight,512,512,512
cols,model.layers.2.mlp.down_proj.weight,3145728,2954512,2954482
rows,model.layers.2.mlp.down_proj.weight,3145728,2954634,2954829
