odd,minifier,residual,prime,power,slots,weights
1,1,1,1,0,35,16584202
3,1,3,3,1,35,15256489
5,1,5,5,1,36,18313006
7,1,7,7,1,33,13087543
9,1,9,3,2,36,20371683
11,1,11,11,1,35,16621316
13,1,13,13,1,35,14096118
15,3,5,5,1,35,12248392
17,1,17,17,1,37,21553700
19,1,19,19,1,36,19278771
21,3,7,7,1,36,17422570
23,1,23,23,1,35,15911699
25,1,25,5,2,35,14688582
27,1,27,3,3,35,13558101
29,1,29,29,1,34,12621537
31,1,31,31,1,33,11869447
33,3,11,11,1,37,22141617
35,5,7,7,1,36,20927819
37,1,37,37,1,36,19792388
39,3,13,13,1,34,18743267
41,1,41,41,1,35,17867808
43,1,43,43,1,36,17013772
45,9,5,5,1,37,16258536
47,1,47,47,1,35,15567756
49,1,49,7,2,35,14944474
51,3,17,17,1,34,14331614
53,1,53,53,1,34,13818461
55,5,11,11,1,34,13312830
57,3,19,19,1,34,12873552
59,1,59,59,1,34,12447935
61,1,61,61,1,35,12015491
63,9,7,7,1,36,11742846
65,5,13,13,1,35,22378121
67,1,67,67,1,36,21811829
69,3,23,23,1,37,21282222
71,1,71,71,1,34,20639770
73,1,73,73,1,36,20093793
75,3,25,5,2,35,19556375
77,7,11,11,1,39,18997630
79,1,79,79,1,36,18544975
81,1,81,3,4,35,18096379
83,1,83,83,1,36,17646605
85,5,17,17,1,33,17225654
87,3,29,29,1,35,16852664
89,1,89,89,1,36,16456442
91,7,13,13,1,34,16097626
93,3,31,31,1,36,15767084
95,5,19,19,1,35,15419075
97,1,97,97,1,34,15126748
99,9,11,11,1,36,14779084
101,1,101,101,1,35,14518242
103,1,103,103,1,35,14203179
105,15,7,7,1,36,13969803
107,1,107,107,1,34,13707340
109,1,109,109,1,33,13453843
111,3,37,37,1,34,13227563
113,1,113,113,1,35,12983216
115,5,23,23,1,34,12784149
117,9,13,13,1,35,12546872
119,7,17,17,1,37,12338610
121,1,121,11,2,36,12125398
123,3,41,41,1,34,11958767
125,1,125,5,3,34,11786600
127,1,127,127,1,35,11881436
129,3,43,43,1,36,22044156
131,1,131,131,1,36,22282355
133,7,19,19,1,37,22041667
135,27,5,5,1,36,21719843
137,1,137,137,1,35,21378214
139,1,139,139,1,36,21107844
141,3,47,47,1,37,20781247
143,11,13,13,1,36,20484129
145,5,29,29,1,38,20224184
147,3,49,7,2,37,19972038
149,1,149,149,1,37,19669774
151,1,151,151,1,35,19453633
153,9,17,17,1,37,19164226
155,5,31,31,1,38,18952960
157,1,157,157,1,36,18651796
159,3,53,53,1,35,18453955
161,7,23,23,1,36,18193996
163,1,163,163,1,36,17972537
165,15,11,11,1,36,17738327
167,1,167,167,1,36,17532398
169,1,169,13,2,36,17314644
171,9,19,19,1,35,17159285
173,1,173,173,1,36,16925813
175,25,7,7,1,37,16749718
177,3,59,59,1,36,16518031
179,1,179,179,1,35,16339641
181,1,181,181,1,34,16177957
183,3,61,61,1,35,15993385
185,5,37,37,1,34,15837767
187,11,17,17,1,34,15683134
189,27,7,7,1,35,15481435
191,1,191,191,1,35,15349766
193,1,193,193,1,34,15166235
195,15,13,13,1,35,15030836
197,1,197,197,1,35,14868068
199,1,199,199,1,32,14731109
201,3,67,67,1,35,14577956
203,7,29,29,1,35,14415205
205,5,41,41,1,34,14298955
207,9,23,23,1,35,14138316
209,11,19,19,1,35,14012052
211,1,211,211,1,35,13892644
213,3,71,71,1,36,13755893
215,5,43,43,1,34,13625157
217,7,31,31,1,36,13517157
219,3,73,73,1,34,13358800
221,13,17,17,1,35,13261683
223,1,223,223,1,34,13155638
225,9,25,5,2,33,13043259
227,1,227,227,1,33,12938280
229,1,229,229,1,34,12827967
231,21,11,11,1,36,12728199
233,1,233,233,1,35,12603009
235,5,47,47,1,34,12496173
237,3,79,79,1,35,12360473
239,1,239,239,1,33,12275442
241,1,241,241,1,37,12164568
243,1,243,3,5,32,12070205
245,5,49,7,2,36,12010265
247,13,19,19,1,35,11895682
249,3,83,83,1,35,11787899
251,1,251,251,1,35,11777260
253,11,23,23,1,37,11757214
255,15,17,17,1,35,12308034
