odd,minifier,minifier_root,minifier_powers,residual,residual_root,residual_powers,weights
1,1,1,,1,1,,16584202
3,1,1,,3,3,,15256489
5,1,1,,5,5,,18313006
7,1,1,,7,7,,13087543
9,1,1,,9,3,2,20371683
11,1,1,,11,11,,16621316
13,1,1,,13,13,,14096118
15,3,3,,5,5,,12248392
17,1,1,,17,17,,21553700
19,1,1,,19,19,,19278771
21,3,3,,7,7,,17422570
23,1,1,,23,23,,15911699
25,1,1,,25,5,2,14688582
27,1,1,,27,3,3,13558101
29,1,1,,29,29,,12621537
31,1,1,,31,31,,11869447
33,3,3,,11,11,,22141617
35,5,5,,7,7,,20927819
37,1,1,,37,37,,19792388
39,3,3,,13,13,,18743267
41,1,1,,41,41,,17867808
43,1,1,,43,43,,17013772
45,9,3,2,5,5,,16258536
47,1,1,,47,47,,15567756
49,1,1,,49,7,2,14944474
51,3,3,,17,17,,14331614
53,1,1,,53,53,,13818461
55,5,5,,11,11,,13312830
57,3,3,,19,19,,12873552
59,1,1,,59,59,,12447935
61,1,1,,61,61,,12015491
63,9,3,2,7,7,,11742846
65,5,5,,13,13,,22378121
67,1,1,,67,67,,21811829
69,3,3,,23,23,,21282222
71,1,1,,71,71,,20639770
73,1,1,,73,73,,20093793
75,3,3,,25,5,2,19556375
77,7,7,,11,11,,18997630
79,1,1,,79,79,,18544975
81,1,1,,81,3,2.2,18096379
83,1,1,,83,83,,17646605
85,5,5,,17,17,,17225654
87,3,3,,29,29,,16852664
89,1,1,,89,89,,16456442
91,7,7,,13,13,,16097626
93,3,3,,31,31,,15767084
95,5,5,,19,19,,15419075
97,1,1,,97,97,,15126748
99,9,3,2,11,11,,14779084
101,1,1,,101,101,,14518242
103,1,1,,103,103,,14203179
105,15,15,,7,7,,13969803
107,1,1,,107,107,,13707340
109,1,1,,109,109,,13453843
111,3,3,,37,37,,13227563
113,1,1,,113,113,,12983216
115,5,5,,23,23,,12784149
117,9,3,2,13,13,,12546872
119,7,7,,17,17,,12338610
121,1,1,,121,11,2,12125398
123,3,3,,41,41,,11958767
125,1,1,,125,5,3,11786600
127,1,1,,127,127,,11881436
129,3,3,,43,43,,22044156
131,1,1,,131,131,,22282355
133,7,7,,19,19,,22041667
135,27,3,3,5,5,,21719843
137,1,1,,137,137,,21378214
139,1,1,,139,139,,21107844
141,3,3,,47,47,,20781247
143,11,11,,13,13,,20484129
145,5,5,,29,29,,20224184
147,3,3,,49,7,2,19972038
149,1,1,,149,149,,19669774
151,1,1,,151,151,,19453633
153,9,3,2,17,17,,19164226
155,5,5,,31,31,,18952960
157,1,1,,157,157,,18651796
159,3,3,,53,53,,18453955
161,7,7,,23,23,,18193996
163,1,1,,163,163,,17972537
165,15,15,,11,11,,17738327
167,1,1,,167,167,,17532398
169,1,1,,169,13,2,17314644
171,9,3,2,19,19,,17159285
173,1,1,,173,173,,16925813
175,25,5,2,7,7,,16749718
177,3,3,,59,59,,16518031
179,1,1,,179,179,,16339641
181,1,1,,181,181,,16177957
183,3,3,,61,61,,15993385
185,5,5,,37,37,,15837767
187,11,11,,17,17,,15683134
189,27,3,3,7,7,,15481435
191,1,1,,191,191,,15349766
193,1,1,,193,193,,15166235
195,15,15,,13,13,,15030836
197,1,1,,197,197,,14868068
199,1,1,,199,199,,14731109
201,3,3,,67,67,,14577956
203,7,7,,29,29,,14415205
205,5,5,,41,41,,14298955
207,9,3,2,23,23,,14138316
209,11,11,,19,19,,14012052
211,1,1,,211,211,,13892644
213,3,3,,71,71,,13755893
215,5,5,,43,43,,13625157
217,7,7,,31,31,,13517157
219,3,3,,73,73,,13358800
221,13,13,,17,17,,13261683
223,1,1,,223,223,,13155638
225,9,3,2,25,5,2,13043259
227,1,1,,227,227,,12938280
229,1,1,,229,229,,12827967
231,21,21,,11,11,,12728199
233,1,1,,233,233,,12603009
235,5,5,,47,47,,12496173
237,3,3,,79,79,,12360473
239,1,1,,239,239,,12275442
241,1,1,,241,241,,12164568
243,1,1,,243,243,,12070205
245,5,5,,49,7,2,12010265
247,13,13,,19,19,,11895682
249,3,3,,83,83,,11787899
251,1,1,,251,251,,11777260
253,11,11,,23,23,,11757214
255,15,15,,17,17,,12308034
