core_id,plus,minus,plane
1,1470626,1469632,yes
2,2732995,2735350,yes
3,1489915,1487098,yes
4,449597,453871,yes
5,1940103,1949553,yes
6,2263287,2272137,yes
7,3456445,3439027,yes
8,1838241,1844689,yes
9,3123451,3131168,yes
10,3197558,3206065,yes
11,1406898,1409144,yes
12,2431869,2427631,yes
13,2590416,2593434,yes
14,2401574,2401201,yes
15,2463565,2469943,yes
16,1115665,1120787,yes
17,765055,778369,yes
18,1460549,1454859,yes
19,2827595,2834694,yes
20,1481970,1486168,yes
21,2681522,2670065,yes
22,2363692,2373564,yes
23,1507513,1503148,yes
24,3047119,3060029,yes
25,1383675,1386388,yes
26,2723339,2726694,yes
27,761639,753073,yes
28,2794121,2793346,yes
29,2889675,2898709,yes
30,1329713,1335230,yes
31,2777802,2784888,yes
32,1984652,1988659,yes
33,1207844,1214438,yes
34,1588640,1580155,yes
35,3317681,3331737,yes
36,2535468,2549443,yes
37,3799222,3814223,yes
38,110178,115114,yes
39,2522271,2527707,yes
40,2488429,2495769,yes
41,1493236,1475816,yes
42,2770214,2769153,yes
43,1953411,1951921,yes
44,2079776,2085630,yes
45,1080284,1082814,yes
46,1479433,1479534,yes
47,2048160,2051211,yes
48,1326301,1328410,yes
49,600994,602973,yes
50,865998,889973,yes
51,1513970,1519964,yes
52,2390870,2404872,yes
53,1443307,1446266,yes
54,775370,770781,yes
55,3350370,3358579,yes
56,2736036,2720257,yes
57,1407316,1394778,yes
58,2413215,2411093,yes
59,98308,98380,yes
60,441719,441523,yes
61,1266901,1270042,yes
62,1371770,1372074,yes
63,772711,770493,yes
64,771128,760058,yes
65,1830896,1837460,yes
66,2563656,2581253,yes
67,2150681,2155929,yes
68,1920442,1926568,yes
69,2635795,2645256,yes
70,2490473,2506774,yes
71,2195860,2198440,yes
72,2229046,2231524,yes
73,838854,838614,yes
74,1365771,1364516,yes
75,1469238,1463596,yes
76,1410140,1418923,yes
77,3333146,3353880,yes
78,762874,760145,yes
79,2972978,2980689,yes
80,396178,400096,yes
81,1895808,1900451,yes
82,2686659,2698538,yes
83,1846040,1846268,yes
84,1529455,1534627,yes
85,1987430,1992374,yes
86,203200,196324,yes
87,1890173,1893836,yes
88,1344252,1348055,yes
89,3327773,3332091,yes
90,2663638,2671802,yes
91,2089415,2103666,yes
92,3476804,3472193,yes
93,3431931,3435474,yes
94,1905466,1910533,yes
95,98734,97695,yes
96,1983144,1985831,yes
97,2330527,2335399,yes
98,2061837,2057202,yes
99,1998959,2020953,yes
100,2507959,2505840,yes
101,2576269,2580136,yes
102,1389893,1390843,yes
103,1992928,1997671,yes
104,2116242,2121273,yes
105,3251038,3256836,yes
106,3257997,3272581,yes
107,2459719,2466712,yes
108,798276,800533,yes
109,2731116,2737670,yes
110,2472857,2485272,yes
111,1401821,1404521,yes
112,552175,551317,yes
113,1096508,1099142,yes
114,1337157,1339803,yes
115,2335306,2345982,yes
