core_id,core,odd,fives,turns,residual
1,126953125,13,10,352647,205
2,1953125,1,9,5425,125
3,1171875,3,8,3255,75
4,28228759765625,37,17,78413221571,65
5,28564453125,117,12,79345703,45
6,299072265625,49,14,830756293,145
7,40283203125,33,13,111897786,165
8,306396484375,251,13,851101345,175
9,3564453125,73,11,9901258,245
10,34912109375,143,12,96978081,215
11,118408203125,97,13,328911675,125
12,196533203125,161,13,545925564,85
13,16357421875,67,12,45437282,355
14,52490234375,43,13,145806206,215
15,262451171875,43,14,729031032,355
16,60791015625,249,12,168863932,105
17,531005859375,87,14,1475016276,15
18,93994140625,77,13,261094835,25
19,3857421875,79,11,10715060,275
20,81787109375,67,13,227186414,335
21,189208984375,31,14,525580512,55
22,4345703125,89,11,12071397,205
23,11474609375,47,12,31873914,335
24,36376953125,149,12,101047092,5
25,1275634765625,209,14,3543429904,185
26,177001953125,29,14,491672092,5
27,7659912109375,251,15,21277533637,55
28,201416015625,33,14,559488932,105
29,4638671875,19,12,12885199,235
30,1519775390625,249,14,4221598307,105
31,47607421875,39,13,132242838,195
32,6103515625,1,14,16954210,25
33,5908203125,121,11,16411675,125
34,823974609375,27,15,2288818359,135
35,4150390625,17,12,11528862,305
36,174560546875,143,13,484890407,355
37,32958984375,27,13,91552734,135
38,820159912109375,43,19,2278221978081,215
39,41748046875,171,12,115966796,315
40,184326171875,151,13,512017144,35
41,84228515625,69,13,233968098,345
42,20751953125,17,13,57644314,85
43,4833984375,99,11,13427734,135
44,57373046875,47,13,159369574,235
45,61767578125,253,12,171576605,325
46,86669921875,71,13,240749782,355
47,26611328125,109,12,73920355,325
48,5712890625,117,11,15869140,225
49,849609375,87,10,2360026,15
50,518798828125,17,15,1441107855,325
51,5419921875,111,11,15055338,195
52,20263671875,83,12,56287977,155
53,1043701171875,171,14,2899169921,315
54,4302978515625,141,15,11952718098,345
55,33447265625,137,12,92909071,65
56,18310546875,3,14,50862630,75
57,123291015625,101,13,342475043,145
58,2001953125,41,11,5560980,325
59,736236572265625,193,18,2045101589626,265
60,29754638671875,39,17,82651774088,195
61,5810546875,119,11,16140407,355
62,1324462890625,217,14,3679063585,25
63,408935546875,67,14,1135932074,235
64,6011962890625,197,15,16699896918,145
65,498046875,51,10,1383463,195
66,169677734375,139,13,471327039,335
67,458984375,47,10,1274956,215
68,289306640625,237,13,803629557,105
69,4052734375,83,11,11257595,175
70,5126953125,21,12,14241536,165
71,2392578125,49,11,6646050,125
