slot,n,m,core,fives,tens
1,208,14,126953125,10,36
2,160,13,1953125,8,38
3,192,14,1171875,8,38
4,185,16,28228759765625,16,30
5,234,13,28564453125,12,34
6,245,13,299072265625,13,33
7,132,15,40283203125,13,33
8,251,13,306396484375,13,33
9,146,12,3564453125,11,35
10,143,12,34912109375,12,34
11,194,14,118408203125,13,33
12,161,13,196533203125,13,33
13,134,13,16357421875,12,34
14,215,12,52490234375,12,34
15,215,13,262451171875,13,33
16,249,12,60791015625,12,34
17,174,15,531005859375,14,32
18,154,14,93994140625,13,33
19,158,12,3857421875,11,35
20,134,14,81787109375,13,33
21,155,13,189208984375,13,33
22,178,12,4345703125,11,35
23,188,14,11474609375,12,34
24,149,12,36376953125,12,34
25,209,14,1275634765625,14,32
26,145,13,177001953125,13,33
27,251,15,7659912109375,15,31
28,165,13,201416015625,13,33
29,190,12,4638671875,11,35
30,249,14,1519775390625,14,32
31,195,12,47607421875,12,34
32,250,12,6103515625,11,35
33,242,12,5908203125,11,35
34,135,14,823974609375,14,32
35,170,12,4150390625,11,35
36,143,13,174560546875,13,33
37,216,16,32958984375,13,33
38,215,18,820159912109375,18,28
39,171,12,41748046875,12,34
40,151,13,184326171875,13,33
41,138,14,84228515625,13,33
42,170,13,20751953125,12,34
43,198,12,4833984375,11,35
44,235,12,57373046875,12,34
45,253,12,61767578125,12,34
46,142,14,86669921875,13,33
47,218,13,26611328125,12,34
48,234,12,5712890625,11,35
49,174,11,849609375,10,36
50,170,15,518798828125,14,32
51,222,12,5419921875,11,35
52,166,13,20263671875,12,34
53,171,14,1043701171875,14,32
54,141,15,4302978515625,15,31
55,137,12,33447265625,12,34
56,150,13,18310546875,12,34
57,202,14,123291015625,13,33
58,164,13,2001953125,11,35
59,193,18,736236572265625,18,28
60,195,16,29754638671875,16,30
61,238,12,5810546875,11,35
62,217,14,1324462890625,14,32
63,134,15,408935546875,14,32
64,197,15,6011962890625,15,31
65,204,12,498046875,10,36
66,139,13,169677734375,13,33
