slot,core_id,band,n,m
1,1,36,208,14
2,2,38,160,13
3,3,38,192,14
4,4,30,185,16
5,5,34,234,13
6,6,33,245,13
7,7,33,132,15
8,8,33,251,13
9,9,35,146,12
10,10,34,143,12
11,11,33,194,14
12,12,33,161,13
13,13,34,134,13
14,14,34,215,12
15,15,33,215,13
16,16,34,249,12
17,17,32,174,15
18,18,33,154,14
19,19,35,158,12
20,20,33,134,14
21,21,33,155,13
22,22,35,178,12
23,23,34,188,14
24,24,34,149,12
25,25,32,209,14
26,26,33,145,13
27,27,31,251,15
28,28,33,165,13
29,29,35,190,12
30,30,32,249,14
31,31,34,195,12
32,32,35,250,12
33,33,35,242,12
34,34,32,135,14
35,35,35,170,12
36,36,33,143,13
37,37,33,216,16
38,38,28,215,18
39,39,34,171,12
40,40,33,151,13
41,41,33,138,14
42,42,34,170,13
43,43,35,198,12
44,44,34,235,12
45,45,34,253,12
46,46,33,142,14
47,47,34,218,13
48,48,35,234,12
49,49,36,174,11
50,50,32,170,15
51,51,35,222,12
52,52,34,166,13
53,53,32,171,14
54,54,31,141,15
55,55,34,137,12
56,56,34,150,13
57,57,33,202,14
58,58,35,164,13
59,59,28,193,18
60,60,30,195,16
61,61,35,238,12
62,62,32,217,14
63,63,32,134,15
64,64,31,197,15
65,65,36,204,12
66,66,33,139,13
67,67,36,188,12
68,68,33,237,13
69,69,35,166,12
70,70,35,210,12
71,71,35,196,13
72,72,33,191,13
73,73,31,240,19
74,74,32,229,14
75,75,32,149,14
76,76,37,224,14
77,77,39,160,12
78,78,32,222,15
79,79,37,152,12
80,80,30,211,16
81,70,34,168,15
82,81,35,131,11
83,82,35,208,15
84,83,35,252,13
85,84,34,221,12
86,85,33,227,13
87,86,29,233,17
88,87,34,201,12
89,88,33,238,14
90,15,32,172,16
91,89,35,138,12
92,90,33,185,13
93,91,35,145,11
94,92,35,150,12
95,93,35,134,12
96,94,33,204,15
97,95,30,236,18
98,96,35,228,13
99,97,32,188,16
100,98,33,217,13
101,99,38,240,12
102,100,33,149,13
103,101,33,137,13
104,102,32,207,14
105,103,34,226,13
106,104,37,208,13
107,105,34,141,12
108,106,33,140,15
109,107,35,156,13
110,108,37,164,11
111,109,35,162,12
112,110,34,173,12
113,111,32,197,14
114,112,35,177,11
115,113,35,254,12
116,114,32,243,14
117,115,34,225,12
118,116,32,177,14
119,117,35,159,11
120,118,34,206,13
121,119,31,250,16
122,120,32,139,14
123,82,36,130,11
124,121,32,230,15
125,122,34,182,13
126,123,38,152,11
